"date,""lead_name"",""business"",""area"",""phone_or_link"",""channel"",""status"",""next_action"",""next_date"",""notes"",""lead_id"""
"2026-03-05,""Aarvi Encon Private Ltd"",""Aarvi Encon Private Ltd"",""Sharjah"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | mobile | https://www.yellowpages-uae.com/aarvi-encon-private-ltd-103563"",""UAE0933"""
"2026-03-05,""Aarya Engineering FZC"",""Aarya Engineering FZC"",""Sharjah"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | mobile | https://www.yellowpages-uae.com/aarya-engineering-fzc-136237"",""UAE0934"""
"2026-03-05,""AASA Group"",""AASA Group"",""Sharjah"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/aasa-group-151843"",""UAE0935"""
"2026-03-05,""Ab Alkhair Sona Grocery"",""Ab Alkhair Sona Grocery"",""Sharjah"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | mobile | https://www.yellowpages-uae.com/ab-alkhair-sona-grocery-166513"",""UAE0936"""
"2026-03-05,""AB International FZE"",""AB International FZE"",""Sharjah"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/ab-international-fze-155575"",""UAE0937"""
"2026-03-05,""Abacus IT Solutions FZE"",""Abacus IT Solutions FZE"",""Sharjah"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | mobile | https://www.yellowpages-uae.com/abacus-it-solutions-fze-148490"",""UAE0938"""
"2026-03-05,""Abacus IT Solutions FZE"",""Abacus IT Solutions FZE"",""Sharjah"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | mobile | https://www.yellowpages-uae.com/abacus-it-solutions-fze-148490"",""UAE0939"""
"2026-03-05,""Abacus IT Solutions FZE"",""Abacus IT Solutions FZE"",""Sharjah"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/abacus-it-solutions-fze-148490"",""UAE0940"""
"2026-03-05,""Abad Al Shams Beauty Saloon"",""Abad Al Shams Beauty Saloon"",""Sharjah"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/abad-al-shams-beauty-saloon-169997"",""UAE0941"""
"2026-03-05,""Abazar Hardware and Sanitary Trading"",""Abazar Hardware and Sanitary Trading"",""Sharjah"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/abazar-hardware-and-sanitary-trading-135594"",""UAE0942"""
"2026-03-05,""Abazar Trading LLC"",""Abazar Trading LLC"",""Sharjah"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/abazar-trading-llc-110183"",""UAE0943"""
"2026-03-05,""Abba Events and Exhibitions LLC"",""Abba Events and Exhibitions LLC"",""Sharjah"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | mobile | https://www.yellowpages-uae.com/abba-events-and-exhibitions-llc-123435"",""UAE0944"""
"2026-03-05,""Abba Events and Exhibitions LLC"",""Abba Events and Exhibitions LLC"",""Sharjah"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | mobile | https://www.yellowpages-uae.com/abba-events-and-exhibitions-llc-123435"",""UAE0945"""
"2026-03-05,""Abba Events and Exhibitions LLC"",""Abba Events and Exhibitions LLC"",""Sharjah"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/abba-events-and-exhibitions-llc-190977"",""UAE0946"""
"2026-03-05,""Abba Events and Exhibitions LLC"",""Abba Events and Exhibitions LLC"",""Sharjah"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/abba-events-and-exhibitions-llc-123435"",""UAE0947"""
